City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Aswan,EG,24.0934,32.907,53.31,42,0,8.46,clear sky
80,Egvekinot,RU,66.3167,-179.1667,-21.86,84,100,10.38,overcast clouds
81,Pevek,RU,69.7008,170.3133,-33.68,84,9,2.55,clear sky
82,Lavumisa,SZ,-27.31,31.892,73.06,93,72,2.77,broken clouds
83,Sao Filipe,CV,14.8961,-24.4956,74.64,61,100,7.9,overcast clouds
84,Iqaluit,CA,63.7506,-68.5145,-9.0,77,1,19.57,snow
85,Namibe,AO,-15.1961,12.1522,71.78,78,50,5.82,scattered clouds
86,Burayevo,RU,55.8407,55.4083,19.69,97,87,9.69,overcast clouds
87,Chuy,UY,-33.6971,-53.4616,71.51,88,100,12.12,moderate rain
88,Isangel,VU,-19.55,169.2667,82.94,69,19,16.44,few clouds
89,Mar Del Plata,AR,-38.0023,-57.5575,62.01,63,75,18.41,broken clouds
90,Hermanus,ZA,-34.4187,19.2345,66.0,84,1,9.6,clear sky
91,Tortoli,IT,39.9256,9.6572,60.8,55,0,21.85,clear sky
92,Lalibela,ET,12.0333,39.0333,45.72,58,65,0.65,broken clouds
93,Bambous Virieux,MU,-20.3428,57.7575,78.8,83,40,8.05,scattered clouds
94,Gamba,GA,-2.65,10.0,76.89,89,100,5.88,moderate rain
95,Kindu,CD,-2.95,25.95,70.11,98,100,0.94,moderate rain
96,Tsiroanomandidy,MG,-18.7667,46.0333,66.33,90,8,2.15,clear sky
97,Nikolskoye,RU,59.7035,30.7861,25.0,93,75,6.71,light snow
98,Malanje,AO,-9.5402,16.341,63.48,96,100,4.16,overcast clouds
99,Novopokrovka,UA,49.8425,36.5477,37.4,93,90,15.66,moderate rain
100,Port Blair,IN,11.6667,92.75,79.09,78,0,6.67,clear sky
101,Inhambane,MZ,-23.865,35.3833,78.12,80,0,5.64,clear sky
102,Kieta,PG,-6.2167,155.6333,84.02,72,100,16.44,overcast clouds
103,Tual,ID,-5.6667,132.75,83.46,76,59,13.15,broken clouds
104,Solwezi,ZM,-12.1688,26.3894,61.97,95,100,3.04,overcast clouds
105,Nanortalik,GL,60.1432,-45.2371,29.97,90,100,8.28,overcast clouds
106,Touba,CI,8.2833,-7.6833,72.99,20,0,1.05,clear sky
107,Laguna,US,38.421,-121.4238,57.2,51,1,4.61,clear sky
108,Faya,SA,18.3851,42.4509,55.4,62,0,5.75,clear sky
109,Kalmunai,LK,7.4167,81.8167,76.77,85,100,5.77,overcast clouds
110,Millington,US,35.3415,-89.8973,55.0,100,90,9.22,mist
111,Dikson,RU,73.5069,80.5464,-34.4,80,0,7.31,clear sky
112,Kulhudhuffushi,MV,6.6221,73.07,81.32,66,1,5.55,clear sky
113,Pingliang,CN,35.5392,106.6861,31.33,72,99,0.72,overcast clouds
114,Rapid Valley,US,44.0625,-103.1463,34.0,93,90,19.57,light snow
115,Sibolga,ID,1.7427,98.7792,77.27,73,54,3.56,broken clouds
116,Salinopolis,BR,-0.6136,-47.3561,79.61,86,100,10.56,overcast clouds
117,Les Cayes,HT,18.2,-73.75,73.4,76,87,5.73,overcast clouds
118,Charters Towers,AU,-20.1,146.2667,83.75,57,98,9.86,overcast clouds
119,Wajir,KE,1.7471,40.0573,72.39,65,0,13.56,clear sky
120,Izhma,RU,65.0083,53.9113,1.09,92,100,8.81,overcast clouds
121,Puerto Ayora,EC,-0.7393,-90.3518,78.01,90,49,5.99,scattered clouds
122,Meridian,US,43.6121,-116.3915,46.99,49,40,13.8,scattered clouds
123,Ambilobe,MG,-13.2,49.05,72.73,93,0,2.68,clear sky
124,Opuwo,NA,-18.0607,13.84,70.34,55,100,2.71,light rain
125,Ixtapa,MX,20.7,-105.2,73.4,78,1,11.5,clear sky
126,Camana,PE,-16.6228,-72.7111,68.97,76,31,4.85,scattered clouds
127,Waingapu,ID,-9.6567,120.2641,80.35,78,100,14.25,heavy intensity rain
128,Barrow,US,71.2906,-156.7887,-11.2,70,90,6.91,light snow
129,Ayni,TJ,39.3941,68.5377,37.45,71,100,7.27,overcast clouds
130,Manggar,ID,-2.8833,108.2667,81.36,78,100,10.47,overcast clouds
131,Norman Wells,CA,65.282,-126.8329,-27.4,68,40,3.44,scattered clouds
132,Nanning,CN,22.8167,108.3167,60.8,88,20,2.24,mist
133,Nueva Loja,EC,0.0847,-76.8828,82.4,74,20,3.44,few clouds
134,Shu,KZ,43.5983,73.7614,27.12,87,100,6.87,overcast clouds
135,Mineiros,BR,-17.5694,-52.5511,69.46,87,100,2.95,overcast clouds
136,Lasa,IT,46.6166,10.7002,37.0,100,90,3.06,light snow
137,Ilulissat,GL,69.2167,-51.1,6.8,61,90,8.05,overcast clouds
138,Upernavik,GL,72.7868,-56.1549,-9.13,87,100,6.98,overcast clouds
139,Cidreira,BR,-30.1811,-50.2056,75.67,91,92,8.34,overcast clouds
140,Omsukchan,RU,62.5333,155.8,-29.42,81,100,12.93,overcast clouds
141,Baker City,US,44.7749,-117.8344,42.8,56,1,14.97,clear sky
142,Vila Franca Do Campo,PT,37.7167,-25.4333,62.6,88,75,16.11,broken clouds
143,Beisfjord,NO,68.3751,17.5988,9.0,85,100,2.3,overcast clouds
144,Diffa,NE,13.3154,12.6113,65.44,27,56,10.16,broken clouds
145,San Patricio,US,28.017,-97.5169,75.2,78,1,10.36,clear sky
146,Gizo,SB,-8.103,156.8419,86.25,70,98,20.09,overcast clouds
147,Jumla,NP,29.2747,82.1838,29.62,57,0,3.51,clear sky
148,Bilibino,RU,68.0546,166.4372,-27.24,79,0,5.64,clear sky
149,Bredasdorp,ZA,-34.5322,20.0403,66.0,84,0,7.02,clear sky
150,Esperance,AU,-33.8667,121.9,68.0,64,0,13.8,clear sky
151,Narsaq,GL,60.9167,-46.05,39.2,28,75,33.38,broken clouds
152,San Rafael,AR,-34.6177,-68.3301,64.06,70,100,0.6,light rain
153,Clyde River,CA,70.4692,-68.5914,-9.4,84,90,5.75,overcast clouds
154,Teruel,ES,40.6667,-0.6667,55.4,65,0,23.02,clear sky
155,Half Moon Bay,US,37.4636,-122.4286,57.2,76,90,5.75,overcast clouds
156,Asau,RO,46.4333,26.4,37.0,80,90,13.8,overcast clouds
157,Oulu,FI,65.0124,25.4682,17.6,86,90,3.44,overcast clouds
158,Solnechnyy,RU,50.7214,136.6319,-10.52,85,49,4.09,scattered clouds
159,Tazovskiy,RU,67.4667,78.7,-25.19,84,100,16.62,overcast clouds
160,Arraial Do Cabo,BR,-22.9661,-42.0278,76.96,83,1,26.78,clear sky
161,Diu,IN,20.7141,70.9822,62.91,30,0,10.49,clear sky
162,Zhuanghe,CN,39.7008,122.9911,22.6,93,100,15.59,overcast clouds
163,College,US,64.8569,-147.8028,-4.0,77,90,0.89,light snow
164,Kudahuvadhoo,MV,2.6708,72.8944,81.19,76,27,12.75,scattered clouds
165,Airai,TL,-8.9266,125.4092,62.94,100,100,5.57,light rain
166,Avarua,CK,-21.2078,-159.775,82.4,74,75,6.91,broken clouds
167,Leningradskiy,RU,69.3833,178.4167,-27.49,82,0,2.84,clear sky
168,Tarime,TZ,-1.35,34.3667,61.77,88,6,3.51,clear sky
169,Ancud,CL,-41.8697,-73.8203,57.99,62,0,9.22,clear sky
170,Keetmanshoop,NA,-26.5833,18.1333,74.14,22,0,8.3,clear sky
171,Katsuura,JP,35.1333,140.3,52.0,45,20,6.91,few clouds
172,Faanui,PF,-16.4833,-151.75,81.79,71,90,9.69,overcast clouds
173,Vokhma,RU,58.9303,46.7586,17.17,97,100,8.97,overcast clouds
