City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
402,Uberaba,BR,82.4,clear sky,-19.7483,-47.9319,
412,Neiafu,TO,82.4,moderate rain,-18.65,-173.9833,
414,Chavakkad,IN,77.0,mist,10.5333,76.05,
421,Sumbe,AO,76.77,overcast clouds,-11.2061,13.8437,
424,Ilhabela,BR,77.68,broken clouds,-23.7781,-45.3581,
429,Mackay,AU,86.0,scattered clouds,-21.15,149.2,
431,Talara,PE,75.97,scattered clouds,-4.5772,-81.2719,
436,Morondava,MG,79.74,clear sky,-20.2833,44.2833,
438,Panguna,PG,79.43,overcast clouds,-6.3164,155.4848,
441,Kimbe,PG,81.41,moderate rain,-5.5502,150.1429,
447,Vanimo,PG,85.53,overcast clouds,-2.6741,141.3028,
453,Puerto Escondido,MX,80.6,scattered clouds,15.85,-97.0667,
458,Kpandu,GH,79.57,overcast clouds,6.9954,0.2931,
461,Latung,PH,81.23,overcast clouds,5.5,120.8833,
466,Boa Vista,BR,78.8,broken clouds,2.8197,-60.6733,
467,Aitape,PG,85.37,overcast clouds,-3.1374,142.3475,
468,Kiunga,PG,81.52,scattered clouds,-6.1219,141.2906,
473,Samarai,PG,85.1,overcast clouds,-10.6167,150.6667,
482,Gigmoto,PH,77.95,overcast clouds,13.7796,124.39,
483,Itaqui,BR,77.43,overcast clouds,-29.1253,-56.5531,
489,Tucuma,BR,76.71,overcast clouds,-0.1833,-50.05,
494,Port Keats,AU,80.04,overcast clouds,-14.25,129.55,
497,Port-Gentil,GA,76.82,light rain,-0.7193,8.7815,
498,Karratha,AU,89.56,light rain,-20.7377,116.8463,
507,Luanda,AO,78.8,broken clouds,-8.8368,13.2343,
511,Kokopo,PG,85.1,overcast clouds,-4.352,152.2633,
514,Manokwari,ID,79.29,overcast clouds,-0.8667,134.0833,
520,Mtwara,TZ,78.93,moderate rain,-10.2667,40.1833,
528,Cansahcab,MX,77.0,broken clouds,21.1667,-89.1,
536,Wewak,PG,85.14,overcast clouds,-3.5534,143.6268,
537,Madang,PG,85.23,moderate rain,-5.2246,145.7966,
538,Ugep,NG,75.56,clear sky,5.8086,8.0812,
546,La Libertad,EC,78.91,few clouds,-2.2333,-80.9,
547,Bonthe,SL,77.67,few clouds,7.5264,-12.505,
556,Guasdualito,VE,79.63,overcast clouds,7.2424,-70.7324,
562,Gouyave,GD,78.8,few clouds,12.1646,-61.7296,
566,Aloleng,PH,75.81,overcast clouds,16.1307,119.7824,
571,Phangnga,TH,77.0,few clouds,8.4509,98.5298,
574,Robertsport,LR,79.92,clear sky,6.7533,-11.3686,
581,Vila Velha,BR,78.8,broken clouds,-20.3297,-40.2925,
582,Nabire,ID,83.48,moderate rain,-3.3667,135.4833,
583,Warri,NG,78.48,clear sky,5.5167,5.75,
585,Kloulklubed,PW,82.4,overcast clouds,7.0419,134.2556,
586,Tarakan,ID,77.0,overcast clouds,3.3,117.6333,
591,Langsa,ID,75.31,overcast clouds,4.4683,97.9683,
592,Presidencia Roque Saenz Pena,AR,77.0,scattered clouds,-26.7852,-60.4388,
594,Port Moresby,PG,75.2,moderate rain,-9.4431,147.1797,
597,Lagos,NG,78.6,clear sky,6.5833,3.75,
599,Panalingaan,PH,80.67,broken clouds,8.7842,117.4231,
604,Rio Grande,BR,75.65,heavy intensity rain,-32.035,-52.0986,
605,Santa Cruz,BO,76.5,broken clouds,-17.8,-63.1667,
606,Nelson Bay,AU,80.6,scattered clouds,-32.7167,152.15,
612,Kroya,ID,80.24,overcast clouds,-7.6331,109.2461,
613,Anito,PH,77.02,overcast clouds,12.4497,125.2886,
614,Kirakira,SB,84.02,broken clouds,-10.4544,161.9205,
617,Ewa Beach,US,82.4,scattered clouds,21.3156,-158.0072,
619,Moerai,PF,80.44,overcast clouds,-22.4333,-151.3333,
620,Sumenep,ID,81.68,clear sky,-7.0167,113.8667,
622,Ranot,TH,79.03,overcast clouds,7.7777,100.3213,
623,Hambantota,LK,75.2,few clouds,6.1241,81.1185,
624,Alyangula,AU,86.0,clear sky,-13.8483,136.4192,
625,Namatanai,PG,84.49,overcast clouds,-3.6667,152.4333,
630,Padang,ID,77.65,overcast clouds,-0.9492,100.3543,
632,Yaan,NG,75.49,clear sky,7.3833,8.5667,
634,Banda Aceh,ID,77.38,overcast clouds,5.5577,95.3222,
636,Le Port,RE,78.8,few clouds,-20.9373,55.2919,
643,The Valley,AI,77.0,scattered clouds,18.217,-63.0578,
650,Beira,MZ,78.91,overcast clouds,-19.8436,34.8389,
656,Barao De Melgaco,BR,82.4,clear sky,-16.1944,-55.9675,
658,Mattru,SL,75.58,scattered clouds,7.6244,-11.8332,
659,Benguela,AO,75.38,overcast clouds,-12.5763,13.4055,
665,Bac Lieu,VN,78.49,scattered clouds,9.285,105.7244,
677,Takoradi,GH,78.93,scattered clouds,4.8845,-1.7554,
679,Guarapari,BR,78.8,broken clouds,-20.6667,-40.4975,
